Incident;Date reported;Time reported;Date occurred;Time occurred;General Location;Crime Description;Disposition
;;;;;;;AGENCY
CC1301627;3/5/2013;12:00:00 a. m.;2/24/2013;4:00:00 p. m.;blk of JOHN ST E;SIMPLE ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301703;3/5/2013;12:00:00 a. m.;2/22/2013;4:15:00 p. m.;400 blk of E HEALEY ST;BURGLARY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301758;3/5/2013;12:00:00 a. m.;2/28/2013;6:45:00 p. m.;NOODLES & CO;LIQUOR;REPORTED TO OTHER
;;;;;;;AGENCY
II1300452;3/6/2013;1:47:00 a. m.;3/6/2013;1:47:00 a. m.;S SIXTH ST / JOHN ST;MIP;ARREST
;;;;;;;
CC1301828;3/6/2013;12:00:00 a. m.;3/2/2013;1:00:00 a. m.;GREGORY DR E / FIRST;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
II1300453;3/7/2013;1:23:00 a. m.;3/6/2013;10:30:00 p. m.;200 blk of GOODWIN AV N;THEFT OVER;unk
;;;;;;;
II1300458;3/7/2013;2:54:00 p. m.;3/7/2013;2:54:00 p. m.;ARMORY;TRESPASS-STATE SUPPORTED;ARREST
;;;;;;LAND;
II1300455;3/7/2013;11:51:00 a. m.;3/1/2013;8:00:00 a. m.;WILLARD;COMPUTER TAMPERING;PENDING
;;;;;;;
II1300455;3/7/2013;11:51:00 a. m.;3/1/2013;8:00:00 a. m.;WILLARD;THEFT-IDENTITY;PENDING
;;;;;;;
II1300459;3/7/2013;3:14:00 p. m.;3/7/2013;2:50:00 p. m.;ARC;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
673-2013;3/7/2013;9:04:00 a. m.;3/7/2013;2:15:00 a. m.;VAN DOREN HALL;DRUG;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300461;3/8/2013;12:20:00 a. m.;3/8/2013;12:20:00 a. m.;CANOPY CLUB;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE
;;;;;;;
II1300461;3/8/2013;12:20:00 a. m.;3/8/2013;12:20:00 a. m.;CANOPY CLUB;BATTERY;ARREST
;;;;;;;
II1300461;3/8/2013;12:20:00 a. m.;3/8/2013;12:20:00 a. m.;CANOPY CLUB;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300461;3/8/2013;12:20:00 a. m.;3/8/2013;12:20:00 a. m.;CANOPY CLUB;CANNABIS-POSS 30 GM & UNDER;ARREST
;;;;;;;
II1300462;3/8/2013;12:16:00 a. m.;3/7/2013;11:45:00 p. m.;UNDERGRADUATE LIBRARY;THEFT OVER;ADMIN. CLOSE
;;;;;;;
II1300463;3/8/2013;12:46:00 a. m.;3/8/2013;12:46:00 a. m.;GREGORY DR W / DORNER DR;DRIVING UNDER THE INFL-;ARREST
;;;;;;ALCOHOL;
II1300463;3/8/2013;12:46:00 a. m.;3/8/2013;12:46:00 a. m.;GREGORY DR W / DORNER DR;BREATH ALCOHOL OVER LIMIT;ARREST
;;;;;;;
II1300473;3/8/2013;7:56:00 p. m.;3/8/2013;7:30:00 a. m.;PARKING LOT B-7;BURGLARY FROM MOTOR;ADMIN. CLOSE
;;;;;;VEHICLE;
II1300476;3/8/2013;11:50:00 p. m.;3/8/2013;11:50:00 p. m.;PARKING LOT D-15;TRESPASS-STATE SUPPORTED;ARREST
;;;;;;LAND;
II1300474;3/8/2013;10:47:00 p. m.;3/8/2013;10:47:00 p. m.;KCPA PARKING LOT;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300474;3/8/2013;10:47:00 p. m.;3/8/2013;10:47:00 p. m.;KCPA PARKING LOT;CANNABIS-POSS 30 GM & UNDER;PENDING
;;;;;;;
II1300474;3/8/2013;10:47:00 p. m.;3/8/2013;10:47:00 p. m.;KCPA PARKING LOT;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300475;3/8/2013;11:53:00 p. m.;3/8/2013;11:53:00 p. m.;600 blk of DANIEL ST E;ASSIST/THEFT;ADMIN. CLOSE
;;;;;;;
II1300475;3/8/2013;11:53:00 p. m.;3/8/2013;11:53:00 p. m.;600 blk of DANIEL ST E;ASSIST/THEFT;ADMIN. CLOSE
;;;;;;;
II1300465;3/8/2013;5:50:00 a. m.;3/8/2013;5:50:00 a. m.;RAINBOW CT / RAINBOW VIEW;METRO ACTIVATION;ADMIN. CLOSE
;;;;;DRIVE;;
II1300478;3/9/2013;1:00:00 a. m.;3/9/2013;1:00:00 a. m.;PARKING LOT C-7;TRESPASS-STATE SUPPORTED;ARREST
;;;;;;LAND;
II1300478;3/9/2013;1:00:00 a. m.;3/9/2013;1:00:00 a. m.;PARKING LOT C-7;POSSESSION OF CANNABIS;ARREST
;;;;;;;
II1300478;3/9/2013;1:00:00 a. m.;3/9/2013;1:00:00 a. m.;PARKING LOT C-7;POSS OF DRUG PARAPHENALIA;ARREST
;;;;;;;
II1300480;3/9/2013;2:22:00 a. m.;3/9/2013;2:22:00 a. m.;FOURTH ST S / ARMORY AV;RESIST/OBSTRUCT/DISARM AN;ARREST
;;;;;;OFFICER;
II1300481;3/9/2013;2:27:00 a. m.;3/9/2013;2:27:00 a. m.;SECOND ST S / ARMORY AV;CANNABIS-DELIVERY 30GM &;ARREST
;;;;;;UNDER;
II1300481;3/9/2013;2:27:00 a. m.;3/9/2013;2:27:00 a. m.;SECOND ST S / ARMORY AV;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300482;3/9/2013;8:14:00 a. m.;3/9/2013;7:00:00 a. m.;GREGORY HALL;CRIMINAL DEFACEMENT OF;ADMIN. CLOSE
;;;;;;PROPERTY;
II1300485;3/9/2013;1:28:00 p. m.;3/9/2013;1:28:00 p. m.;GRAINGER LIBRARY;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300486;3/9/2013;2:38:00 p. m.;3/8/2013;6:00:00 p. m.;PARKING LOT C-10;BURGLARY FROM MOTOR;PENDING
;;;;;;VEHICLE;
II1300490;3/9/2013;8:24:00 p. m.;3/9/2013;8:24:00 p. m.;GREEN ST W / WRIGHT;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300491;3/9/2013;11:06:00 p. m.;3/9/2013;11:06:00 p. m.;CARR RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300487;3/9/2013;2:34:00 p. m.;3/9/2013;2:34:00 p. m.;200 blk of GREEN ST E;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300487;3/9/2013;2:34:00 p. m.;3/9/2013;2:34:00 p. m.;200 blk of GREEN ST E;CANNABIS-POSS 30 GM & UNDER;PENDING
;;;;;;;
II1300480;3/9/2013;2:22:00 a. m.;3/9/2013;2:22:00 a. m.;FOURTH ST S / ARMORY AV;LIQUOR-ILLEGAL CONSUMPTION;ARREST
;;;;;;BY MINOR;
CC1302056;3/9/2013;12:00:00 a. m.;3/9/2013;2:20:00 a. m.;FOURTH ST / E ARMORY;AGGRAVATED ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
CSA-13-9;3/9/2013;6:31:00 a. m.;3/1/2013;UNKNOWN;FRATERNITY;SEX OFFENSE;ADMIN. CLOSED
;;;;;;;
II1300496;3/10/2013;4:32:00 p. m.;3/10/2013;3:00:00 p. m.;NOYES LAB;THEFT OVER;UNFOUNDED
;;;;;;;
CC1301898;3/10/2013;12:00:00 a. m.;3/1/2013;4:00:00 p. m.;800 blk of S FIRST ST;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301907;3/10/2013;12:00:00 a. m.;3/4/2013;2:24:00 p. m.;1000 blk of S THIRD ST;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301912;3/10/2013;12:00:00 a. m.;3/1/2013;11:00:00 p. m.;300 blk of S WATER ST;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301827;3/10/2013;12:00:00 a. m.;3/2/2013;2:30:00 a. m.;blk of GREEN E;ROBBERY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301839;3/10/2013;12:00:00 a. m.;2/1/2013;9:20:00 p. m.;1100 blk of EUCLID ST;FORCIBLE SEX OFFENSE;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301895;3/10/2013;12:00:00 a. m.;2/28/2013;12:00:00 p. m.;300 blk of CHALMERS ST E;BURGLARY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301911;3/10/2013;12:00:00 a. m.;3/4/2013;3:30:00 a. m.;LAMBDA CHI ALPHA;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301733;3/10/2013;12:00:00 a. m.;2/18/2013;9:00:00 a. m.;UNIV PLACE CHRISTIAN CHUR;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302005;3/10/2013;12:00:00 a. m.;3/7/2013;3:20:00 p. m.;100 blk of E CHALMERS ST;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301959;3/10/2013;12:00:00 a. m.;3/3/2013;12:01:00 a. m.;PSI UPSILON;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301938;3/10/2013;12:00:00 a. m.;3/4/2013;8:00:00 p. m.;LEGENDS BAR;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301868;3/10/2013;12:00:00 a. m.;3/2/2013;10:00:00 p. m.;900 blk of LOCUST ST S;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301861;3/10/2013;12:00:00 a. m.;3/2/2013;11:54:00 p. m.;FIREHAUS;LIQUOR;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301858;3/10/2013;12:00:00 a. m.;3/2/2013;11:17:00 p. m.;HOME TOWN PANTRY;LIQUOR;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301841;3/10/2013;12:00:00 a. m.;3/2/2013;3:25:00 p. m.;RED LION BAR;LIQUOR;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301857;3/10/2013;12:00:00 a. m.;3/2/2013;11:00:00 p. m.;400 blk of GREEN ST E;LIQUOR;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301862;3/10/2013;12:00:00 a. m.;3/3/2013;12:35:00 a. m.;RED LION BAR;LIQUOR;REPORTED TO OTHER
;;;;;;;AGENCY
UU1300989;3/10/2013;12:00:00 a. m.;3/1/2013;9:54:00 a. m.;GOODWIN AVE / ILLINOIS ST;DISOBEY STOP;REPORTED TO OTHER
;;;;;;;AGENCY
II1300501;3/11/2013;5:25:00 p. m.;3/11/2013;5:25:00 p. m.;LOOMIS LAB;THEFT OVER;PENDING
;;;;;;;
II1300503;3/11/2013;10:08:00 p. m.;3/11/2013;10:08:00 p. m.;WESTON RESIDENCE HALL;CANNABIS-POSS 30 GM & UNDER;ARREST
;;;;;;;
II1300503;3/11/2013;10:08:00 p. m.;3/11/2013;10:08:00 p. m.;WESTON RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300503;3/11/2013;10:08:00 p. m.;3/11/2013;10:08:00 p. m.;WESTON RESIDENCE HALL;CONTROLLED SUBSTANCE-;ARREST
;;;;;;POSSESSION;
II1300498;3/11/2013;2:49:00 p. m.;3/11/2013;12:30:00 p. m.;NAT SOYBEAN RESEARCH;THEFT-LOST/MISLAID PROPERTY;UNFOUNDED
;;;;;;;
II1300499;3/11/2013;3:28:00 p. m.;3/11/2013;11:00:00 a. m.;LINCOLN HALL;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300499;3/11/2013;3:28:00 p. m.;3/11/2013;11:00:00 a. m.;LINCOLN HALL;FRAUD-CREDIT CARD;ADMIN. CLOSE
;;;;;;;
II1300494;3/11/2013;10:00:00 a. m.;3/11/2013;10:00:00 a. m.;OMER, MI;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
FI130600290;3/11/2013;10:48:00 a. m.;3/1/2013;12:49:00 a. m.;ACACIA HOUSE;THEFT;STUDENT DISCIPLINE
;;;;;;;REFERRAL
727-2013;3/11/2013;10:39:00 a. m.;3/9/2013;10:55:00 p. m.;CARR HALL;DRUG;STUDENT DISCIPLINE
;;;;;;;REFERRAL
708-2013;3/11/2013;10:15:00 a. m.;3/7/2013;11:35:00 p. m.;WESTON HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
723-2013;3/11/2013;10:34:00 a. m.;3/8/2013;9:10:00 p. m.;HOPKINS HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
725-2013;3/11/2013;10:09:00 a. m.;3/9/2013;9:30:00 p. m.;WESTON HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
728-2013;3/11/2013;10:07:00 a. m.;3/10/2013;1:30:00 a. m.;HOPKINS HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
729-2013;3/11/2013;10:04:00 a. m.;3/10/2013;3:00:00 a. m.;HOPKINS HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300504;3/12/2013;1:51:00 a. m.;3/12/2013;1:51:00 a. m.;RANDOLPH ST S / SPRINGFIELD AV;DRIVING UNDER THE INFL-;ARREST
;;;;;;ALCOHOL;
II1300506;3/12/2013;1:57:00 p. m.;3/11/2013;8:00:00 a. m.;PARKING LOT E-26;THEFT OVER;ADMIN. CLOSE
;;;;;;;
II1300508;3/12/2013;5:24:00 p. m.;3/12/2013;5:24:00 p. m.;200 blk of NEIL STREET S;WARRANT-IN STATE;ARREST
;;;;;;;
II1300507;3/12/2013;3:03:00 p. m.;3/12/2013;3:03:00 p. m.;POST I;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
CC1302037;3/12/2013;12:00:00 a. m.;3/8/2013;1:00:00 a. m.;blk of E JOHN ST;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302058;3/12/2013;12:00:00 a. m.;3/9/2013;2:38:00 a. m.;IHOP;SIMPLE ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302044;3/12/2013;12:00:00 a. m.;3/8/2013;9:51:00 p. m.;RED LION;FORCIBLE SEX OFFENSE;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302015;3/12/2013;12:00:00 a. m.;3/8/2013;12:24:00 a. m.;1000 blk of THIRD ST S;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302033;3/12/2013;12:00:00 a. m.;3/8/2013;5:05:00 p. m.;900 blk of S FOURTH ST;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302072;3/12/2013;12:00:00 a. m.;3/9/2013;1:00:00 a. m.;JOE'S BREWERY;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301903;3/12/2013;12:00:00 a. m.;3/3/2013;5:50:00 a. m.;GREEN ST E / FOURTH ST;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
UU1301188;3/12/2013;12:00:00 a. m.;3/12/2013;10:50:00 a. m.;GOODWIN AV S / SPRINGFIELD AV;BATTERY-DOMESTIC;REPORTED TO OTHER
;;;;;;;AGENCY
670-2013;3/12/2013;9:53:00 a. m.;3/6/2013;10:55:00 a. m.;ALLEN HALL;DRUG;STUDENT DISCIPLINE
;;;;;;;REFERRAL
661-2013;3/12/2013;10:00:00 a. m.;3/6/2013;2:30:00 a. m.;NUGENT HALL;LIQUOR;STUDENT DISCIPLINE
;;;;;;;REFERRAL
737-2013;3/12/2013;10:28:00 a. m.;3/11/2013;7:40:00 p. m.;ALLEN HALL;SEXUAL MISCONDUCT;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300510;3/13/2013;10:47:00 a. m.;3/13/2013;10:47:00 a. m.;CRCE;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300513;3/13/2013;2:49:00 p. m.;3/13/2013;2:49:00 p. m.;PARKING LOT F-16;BURGLARY FROM MOTOR;ADMIN. CLOSE
;;;;;;VEHICLE;
II1300518;3/13/2013;8:16:00 p. m.;3/13/2013;8:16:00 p. m.;PAR FOOD SERVIVE;THEFT UNDER;PENDING
;;;;;;;
II1300375;3/13/2013;8:30:00 p. m.;3/13/2013;8:30:00 p. m.;300 blk of DANIEL ST E;CANNABIS-DELIVERY OVER 30GM;ARREST
;;;;;;;
II1300375;3/13/2013;8:30:00 p. m.;3/13/2013;8:30:00 p. m.;300 blk of DANIEL ST E;CONTROLLED SUBSTANCE-;ARREST
;;;;;;POSSESSION;
II1300375;3/13/2013;8:30:00 p. m.;3/13/2013;8:30:00 p. m.;300 blk of DANIEL ST E;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE
;;;;;;;
II1300520;3/13/2013;10:45:00 p. m.;3/13/2013;9:00:00 p. m.;CRCE;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300517;3/13/2013;5:03:00 p. m.;3/13/2013;2:55:00 p. m.;MAIN LIBRARY;THEFT UNDER;ARREST
;;;;;;;
II1300522;3/14/2013;2:06:00 p. m.;3/12/2013;5:00:00 p. m.;GREGORY HALL;CRIMINAL DAMAGE GOVT;ADMIN. CLOSE
;;;;;;SUPPORT PROP;
II1300523;3/14/2013;4:52:00 p. m.;3/8/2013;9:00:00 p. m.;GRAINGER LIBRARY;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300526;3/14/2013;6:11:00 p. m.;3/14/2013;5:30:00 p. m.;PAR;HARASSMENT BY TELEPHONE;ADMIN. CLOSE
;;;;;;;
II1300526;3/14/2013;6:11:00 p. m.;3/14/2013;5:30:00 p. m.;PAR;TELEPHONE THREAT;ADMIN. CLOSE
;;;;;;;
II1300521;3/14/2013;7:45:00 p. m.;3/14/2013;7:45:00 p. m.;VILLAGE AT COLBERT PARK;CANNABIS-DELIVERY OVER 30GM;ARREST
;;;;;;;
II1300521;3/14/2013;7:45:00 p. m.;3/14/2013;7:45:00 p. m.;VILLAGE AT COLBERT PARK;ASSIST OTHER POLICE DEPT;ADMIN. CLOSE
;;;;;;;
II1300521;3/14/2013;7:45:00 p. m.;3/14/2013;7:45:00 p. m.;VILLAGE AT COLBERT PARK;DRUG EQUIPMENT-POSSESSION;PENDING
;;;;;;;
II1300521;3/14/2013;7:45:00 p. m.;3/14/2013;7:45:00 p. m.;VILLAGE AT COLBERT PARK;MONEY LAUNDERING;ARREST
;;;;;;;
II1300521;3/14/2013;7:45:00 p. m.;3/14/2013;7:45:00 p. m.;VILLAGE AT COLBERT PARK;CANNABIS-POSS 30 GM & UNDER;PENDING
;;;;;;;
759-2013;3/14/2013;9:21:00 a. m.;2/14/2013;10:00:00 p. m.;PRIVATE PROPERTY;THREATS;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300531;3/15/2013;10:48:00 a. m.;3/8/2013;5:00:00 p. m.;WOHLERS HALL;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300530;3/15/2013;6:30:00 a. m.;3/15/2013;6:30:00 a. m.;RANTOUL;METRO ACTIVATION;ADMIN. CLOSE
;;;;;;;
II1300536;3/15/2013;3:34:00 p. m.;3/15/2013;3:34:00 p. m.;SMALL ANIMAL CLINIC;FRAUD-CREDIT CARD;ADMIN. CLOSE
;;;;;;;
CC1302098;3/15/2013;12:00:00 a. m.;3/9/2013;11:30:00 p. m.;RED LION,CH;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302099;3/15/2013;12:00:00 a. m.;3/9/2013;7:00:00 p. m.;THE BEACH SUN AND SPA;DESTR/DAMAG/VAND;REPORTED TO OTHER
;;;;;;;AGENCY
CC1302048;3/15/2013;12:00:00 a. m.;3/8/2013;11:50:00 p. m.;KAMS;LARCENY;REPORTED TO OTHER
;;;;;;;AGENCY
UU1301061;3/15/2013;12:00:00 a. m.;3/5/2013;12:12:00 a. m.;800 blk of NEVADA ST W;SIMPLE ASSAULT;REPORTED TO OTHER
;;;;;;;AGENCY
CC1301738;3/15/2013;12:00:00 a. m.;1/25/2013;11:00:00 p. m.;CLYBOURNE;UNLAW USE ID;REPORTED TO OTHER
;;;;;;;AGENCY
779-2013;3/15/2013;2:19:00 p. m.;2/4/2013;12:00:00 a. m.;PRIVATE PROPERTY;THEFT;STUDENT DISCIPLINE
;;;;;;;REFERRAL
CSA-13-10;3/15/2013;4:54:00 p. m.;3/1/2013;UNKNOWN;URBANA APARTMENT;SEX OFFENSE;ADMIN. CLOSED
;;;;;;;
II1300538;3/16/2013;1:04:00 a. m.;3/16/2013;1:04:00 a. m.;1400 blk of SILVER;ASSIST/SHOTS FIRED;ADMIN. CLOSE
;;;;;;;
II1300540;3/16/2013;12:59:00 a. m.;3/16/2013;12:30:00 a. m.;WINDSOR RD E / PHILO RD;ASSIST/DOMESTIC BATTERY;ADMIN. CLOSE
;;;;;;;
II1300540;3/16/2013;12:59:00 a. m.;3/16/2013;12:30:00 a. m.;WINDSOR RD E / PHILO RD;ASSIST/DOMESTIC BATTERY;PENDING
;;;;;;;
II1300541;3/16/2013;3:28:00 a. m.;3/16/2013;3:28:00 a. m.;FOURTH ST S / WHITE ST;WARRANT-IN STATE;ARREST
;;;;;;;
II1300539;3/16/2013;2:20:00 a. m.;3/16/2013;2:20:00 a. m.;NEIL ST S / SPRINGFIELD AV;DRIVING UNDER THE INFL-;ARREST
;;;;;;ALCOHOL;
II1300539;3/16/2013;2:20:00 a. m.;3/16/2013;2:20:00 a. m.;NEIL ST S / SPRINGFIELD AV;OBSTRUCTING JUSTICE;ARREST
;;;;;;;
II1300542;3/17/2013;12:28:00 a. m.;3/17/2013;12:28:00 a. m.;PARKING LOT C-10;WARRANT-IN STATE;ARREST
;;;;;;;
II1300543;3/17/2013;2:25:00 a. m.;3/17/2013;2:25:00 a. m.;GREEN E / LOCUST;ASSIST/ACCIDENT;ADMIN. CLOSE
;;;;;;;
II1300543;3/17/2013;2:25:00 a. m.;3/17/2013;2:25:00 a. m.;GREEN E / LOCUST;ASSIST/ACCIDENT;ARREST
;;;;;;;
II1300544;3/17/2013;2:51:00 a. m.;3/17/2013;2:51:00 a. m.;NEIL ST S / GREEN ST;MIP;ARREST
;;;;;;;
II1300545;3/17/2013;3:01:00 p. m.;3/16/2013;4:00:00 p. m.;ARMORY;THEFT OVER;PENDING
;;;;;;;
II1300543;3/17/2013;2:25:00 a. m.;3/17/2013;2:25:00 a. m.;GREEN E / LOCUST;ASSIST/ACCIDENT;ARREST
;;;;;;;
II1300548;3/18/2013;5:10:00 p. m.;3/18/2013;3:45:00 p. m.;ARC;THEFT OVER;ADMIN. CLOSE
;;;;;;;
II1300550;3/18/2013;8:28:00 p. m.;3/18/2013;8:28:00 p. m.;CVS PARKING LOT;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300550;3/18/2013;8:28:00 p. m.;3/18/2013;8:28:00 p. m.;CVS PARKING LOT;CONTROLLED SUBSTANCE-;PENDING
;;;;;;POSSESSION;
II1300549;3/18/2013;5:07:00 p. m.;3/14/2013;12:00:00 p. m.;AFRICAN AMERICAN CULTURAL;THEFT UNDER;ADMIN. CLOSE
;;;;;;;
II1300547;3/18/2013;2:08:00 a. m.;3/18/2013;2:08:00 a. m.;300 blk of UNIVERSITY AV E;ASSIST/THEFT;ADMIN. CLOSE
;;;;;;;
II1300552;3/19/2013;9:17:00 a. m.;3/19/2013;9:17:00 a. m.;DIGITAL COMPUTER LAB;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300553;3/19/2013;5:04:00 p. m.;3/19/2013;5:04:00 p. m.;CIRCLE K;WARRANT-IN STATE;ARREST
;;;;;;;
II1300554;3/21/2013;7:43:00 a. m.;3/18/2013;5:00:00 p. m.;MEL;VANDALISM-INSTITUTIONAL;PENDING
;;;;;;;
II1300556;3/21/2013;6:01:00 p. m.;3/21/2013;6:01:00 p. m.;WESLEY METHODIST CHURCH;WARRANT-IN STATE;ARREST
;;;;;;;
II1300556;3/21/2013;6:01:00 p. m.;3/21/2013;6:01:00 p. m.;WESLEY METHODIST CHURCH;CANNABIS-POSS 30 GM & UNDER;ARREST
;;;;;;;
II1300556;3/21/2013;6:01:00 p. m.;3/21/2013;6:01:00 p. m.;WESLEY METHODIST CHURCH;DRUG EQUIPMENT-POSSESSION;ARREST
;;;;;;;
II1300557;3/22/2013;3:35:00 p. m.;3/22/2013;3:35:00 p. m.;ENGLISH BUILDING;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300562;3/23/2013;9:00:00 p. m.;3/23/2013;9:00:00 p. m.;ASSEMBLY HALL;UNLAWFUL USE OF WEAPONS;ARREST
;;;;;;;
II1300562;3/23/2013;9:00:00 p. m.;3/23/2013;9:00:00 p. m.;ASSEMBLY HALL;DISORDERLY CONDUCT-ALL;ARREST
;;;;;;OTHER;
II1300562;3/23/2013;9:00:00 p. m.;3/23/2013;9:00:00 p. m.;ASSEMBLY HALL;UNLAWFUL STORAGE OF;ARREST
;;;;;;WEAPONS;
II1300562;3/23/2013;9:00:00 p. m.;3/23/2013;9:00:00 p. m.;ASSEMBLY HALL;TRESPASS NOTICE;ADMIN. CLOSE
;;;;;;;
II1300564;3/24/2013;10:12:00 a. m.;3/10/2013;10:00:00 a. m.;PARKING LOT C-16;THEFT FROM MOTOR VEHICLE;ADMIN. CLOSE
;;;;;;;
II1300565;3/24/2013;3:22:00 p. m.;2/11/2013;8:00:00 p. m.;1000 blk of STOUGHTON ST W;HARASSMENT BY TELEPHONE;ADMIN. CLOSE
;;;;;;;
II1300566;3/24/2013;9:05:00 p. m.;3/24/2013;8:30:00 p. m.;TRELEASE RESIDENCE HALL;DRUG EQUIPMENT-POSSESSION;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300569;3/25/2013;10:30:00 a. m.;3/24/2013;6:00:00 p. m.;THIRD ST S / HEALEY ST;BURGLARY FROM MOTOR;ADMIN. CLOSE
;;;;;;VEHICLE;
II1300572;3/25/2013;9:28:00 p. m.;3/25/2013;9:28:00 p. m.;CHURCH ST W / BUSEY AV;WARRANT-IN STATE;ARREST
;;;;;;;
UU1301301;3/25/2013;12:00:00 a. m.;3/18/2013;9:00:00 p. m.;800 blk of GREEN ST W;DOMESTIC BATTERY;REPORTED TO OTHER
;;;;;;;AGENCY
814-2013;3/25/2013;12:59:00 p. m.;3/24/2013;9:04:00 p. m.;TRELEASE HALL;DRUG;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300574;3/26/2013;11:36:00 a. m.;3/15/2013;2:00:00 p. m.;NUGENT HALL BIKE RACK;THEFT OVER;ADMIN. CLOSE
;;;;;;;
II1300580;3/26/2013;6:02:00 p. m.;3/26/2013;6:02:00 p. m.;BUS TERMINAL;WARRANT-IN STATE;ARREST
;;;;;;;
816-2013;3/26/2013;10:16:00 a. m.;3/25/2013;5:00:00 p. m.;HOPKINS HALL;DRUG;STUDENT DISCIPLINE
;;;;;;;REFERRAL
805-2013;3/26/2013;10:17:00 a. m.;3/1/2013;12:00:00 a. m.;PRIVATE PROPERTY;SEXUAL MISCONDUCT;STUDENT DISCIPLINE
;;;;;;;REFERRAL
II1300585;3/27/2013;4:50:00 p. m.;3/27/2013;4:50:00 p. m.;MOBIL SUPER PANTRY;WARRANT-IN STATE;ARREST
;;;;;;;
II1300584;3/27/2013;2:27:00 p. m.;3/27/2013;1:42:00 p. m.;ILLINI UNION BOOKSTORE;THEFT-RETAIL;ARREST
;;;;;;;
II1300581;3/27/2013;2:12:00 a. m.;3/27/2013;2:12:00 a. m.;FIFTH ST S / GREEN ST;CANNABIS-POSS 30 GM & UNDER;CLEARED EXCEPT. PROS.
;;;;;;;FAIL TO
