Incident,Date reported,Time reported,Date occurred,Time occurred,General Location,Crime Description,Disposition
,,,,,,,
FI140660840,3/7/2014,11:50:00 p. m.,3/7/2014,11:50:00 p. m.,FIRST/SPRINGFIELD,LIQUOR,ADMIN. CLOSED
,,,,,,,
FI140660845,3/7/2014,11:57:00 p. m.,3/7/2014,11:57:00 p. m.,GREEN/WRIGHT,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI140680029,3/7/2014,12:47:00 a. m.,3/7/2014,12:47:00 a. m.,ILLINI TOWNER,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI140660432,3/7/2014,2:42:00 p. m.,3/7/2014,2:42:00 p. m.,CARR RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI140660735,3/7/2014,9:37:00 p. m.,3/7/2014,9:37:00 p. m.,BABCOCK RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AR140660484,3/7/2014,3:47:00 p. m.,3/7/2014,3:47:00 p. m.,GREGORY/ARBOR,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AR140660254,3/7/2014,11:13:00 a. m.,3/7/2014,11:13:00 a. m.,GREGORY HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AR140670104,3/7/2014,2:25:00 a. m.,3/7/2014,2:25:00 a. m.,LAR,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00718-2014,3/7/2014,9:10:00 p. m.,3/7/2014,9:10:00 p. m.,WESTON RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00683-2014,3/7/2014,1:22:00 p. m.,3/7/2014,1:22:00 p. m.,OGLESBY RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00669-2014,3/7/2014,5:00:00 p. m.,3/7/2014,5:00:00 p. m.,BLAISDELL RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00668-2014,3/7/2014,10:15:00 p. m.,3/7/2014,10:15:00 p. m.,BABCOCK RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00665-2014,3/7/2014,7:15:00 p. m.,3/7/2014,7:15:00 p. m.,HOPKINS RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00664-2014,3/7/2014,11:40:00 p. m.,3/7/2014,11:40:00 p. m.,FAR DINING,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00662-2014,3/7/2014,11:20:00 p. m.,3/7/2014,11:20:00 p. m.,LEONARD RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00661-2014,3/7/2014,5:50:00 p. m.,3/7/2014,5:50:00 p. m.,SNYDER RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00660-2014,3/7/2014,10:30:00 p. m.,3/7/2014,10:30:00 p. m.,VAN DOREN RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00655-2014,3/7/2014,8:00:00 p. m.,3/7/2014,8:00:00 p. m.,WESTON RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00653-2014,3/7/2014,12:00:00 a. m.,3/7/2014,12:00:00 a. m.,HOPKINS RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00651-2014,3/7/2014,7:20:00 p. m.,3/7/2014,7:20:00 p. m.,CARR RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00650-2014,3/7/2014,7:40:00 p. m.,3/7/2014,7:40:00 p. m.,SHELDON RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00649-2014,3/7/2014,6:10:00 p. m.,3/7/2014,6:10:00 p. m.,OGLESBY RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00646-2014,3/7/2014,6:40:00 p. m.,3/7/2014,6:40:00 p. m.,TOWNSEND RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00640-2014,3/7/2014,4:20:00 p. m.,3/7/2014,4:20:00 p. m.,BARTON RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00638-2014,3/7/2014,1:30:00 p. m.,3/7/2014,1:30:00 p. m.,WESTON RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00637-2014,3/7/2014,2:26:00 p. m.,3/7/2014,2:26:00 p. m.,BARTON RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
00635-2014,3/7/2014,10:08:00 a. m.,3/7/2014,10:08:00 a. m.,BABCOCK RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00634-2014,3/7/2014,11:33:00 a. m.,3/7/2014,11:33:00 a. m.,CARR RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00633-2014,3/7/2014,11:15:00 a. m.,3/7/2014,11:15:00 a. m.,SCOTT RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00630-2014,3/7/2014,10:15:00 a. m.,3/7/2014,10:15:00 a. m.,SCOTT RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00629-2014,3/7/2014,7:34:00 a. m.,3/7/2014,7:34:00 a. m.,VAN DOREN RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00628-2014,3/7/2014,7:24:00 a. m.,3/7/2014,7:24:00 a. m.,VAN DOREN RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400444,3/8/2014,11:06:00 p. m.,3/7/2014,11:06:00 p. m.,RED LION BAR,BATTERY,ARREST
,,,,,,,
II1400445,3/8/2014,12:10:00 a. m.,3/8/2014,12:10:00 a. m.,CHALMERS ST / SECOND ST,MIP,ARREST
,,,,,,,
II1400447,3/8/2014,1:31:00 a. m.,3/8/2014,1:30:00 a. m.,LUNDGREN RESIDENCE HALL,DRUG EQUIPMENT-POSSESSION,ARREST
,,,,,,,
II1400447,3/8/2014,1:31:00 a. m.,3/8/2014,1:30:00 a. m.,LUNDGREN RESIDENCE HALL,CANNABIS-POSS 30 GM & UNDER,PENDING
,,,,,,,
II1400449,3/8/2014,1:15:00 a. m.,3/8/2014,1:15:00 a. m.,100 blk of E JOHN,THROW DANGEROUS MATERIALS,ARREST
,,,,,,,
II1400450,3/8/2014,2:28:00 a. m.,3/8/2014,2:28:00 a. m.,THE 75,ZERO TOLERANCE,ADMIN. CLOSE
,,,,,,,
II1400451,3/8/2014,5:54:00 a. m.,3/8/2014,5:54:00 a. m.,KIRBY AVE / E OAK,CANNABIS-POSS 30 GM & UNDER,ARREST
,,,,,,,
II1400451,3/8/2014,5:54:00 a. m.,3/8/2014,5:54:00 a. m.,KIRBY AVE / E OAK,DRUG EQUIPMENT-POSSESSION,PENDING
,,,,,,,
II1400456,3/8/2014,2:15:00 p. m.,3/8/2014,2:15:00 p. m.,ILLINI UNION TECH ZONE,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
II1400457,3/8/2014,12:01:00 a. m.,3/8/2014,12:01:00 a. m.,THIRD ST / DANIEL,RESISTING/OBSTR. OFFICER,ARREST
,,,,,,,
II1400457,3/8/2014,12:01:00 a. m.,3/8/2014,12:01:00 a. m.,THIRD ST / DANIEL,FIGHTING,ARREST
,,,,,,,
II1400465,3/8/2014,11:41:00 p. m.,3/8/2014,11:41:00 p. m.,300 blk of HEALEY ST E,DRUG EQUIPMENT-POSSESSION,ARREST
,,,,,,,
II1400465,3/8/2014,11:41:00 p. m.,3/8/2014,11:41:00 p. m.,300 blk of HEALEY ST E,CANNABIS-POSS 30 GM & UNDER,PENDING
,,,,,,,
II1400465,3/8/2014,11:41:00 p. m.,3/8/2014,11:41:00 p. m.,300 blk of HEALEY ST E,ILLEGAL TRANSPORTATION OF LIQUOR,ARREST
,,,,,,,
UU1401209,3/8/2014,12:00:00 a. m.,3/7/2014,4:30:00 p. m.,CAMPUS-UNOFFICIAL DETAIL,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
FI140670011,3/8/2014,12:14:00 a. m.,3/8/2014,12:14:00 a. m.,HOPKINS RESD HALL,DRUGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140670005,3/8/2014,12:20:00 a. m.,3/8/2014,12:20:00 a. m.,FIRST/WILLOW,LIQUOR,ADMIN. CLOSED
,,,,,,,
FI140670025,3/8/2014,12:29:00 a. m.,3/8/2014,12:29:00 a. m.,NUGENT RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140670041,3/8/2014,12:50:00 a. m.,3/8/2014,12:50:00 a. m.,ILLINI UNION,LIQUOR,ADMIN. CLOSED
,,,,,,,
FI140670078,3/8/2014,1:49:00 a. m.,3/8/2014,1:49:00 a. m.,WESTON RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140670095,3/8/2014,2:10:00 a. m.,3/8/2014,2:10:00 a. m.,FIFTH/JOHN,LIQUOR,ADMIN. CLOSED
,,,,,,,
FI140670105,3/8/2014,2:35:00 a. m.,3/8/2014,2:35:00 a. m.,LAR,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140670133,3/8/2014,3:18:00 a. m.,3/8/2014,3:18:00 a. m.,PENNSYLVANIA/SIXTH,LIQUOR,ADMIN. CLOSED
,,,,,,,
FI140670159,3/8/2014,4:09:00 a. m.,3/8/2014,4:09:00 a. m.,WESTON RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140670183,3/8/2014,7:10:00 a. m.,3/8/2014,7:10:00 a. m.,CHALMERS/OAK,LIQUOR,ADMIN. CLOSED
,,,,,,,
FI140670847,3/8/2014,11:58:00 p. m.,3/8/2014,11:58:00 p. m.,JOHN/WRIGHT,DOMESTIC,ADMIN. CLOSED
,,,,,,,
00822-2014,3/8/2014,10:00:00 p. m.,3/8/2014,10:00:00 p. m.,EVANS SCHOLARS,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00676-2014,3/8/2014,12:05:00 a. m.,3/8/2014,12:05:00 a. m.,HOPKINS RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
00675-2014,3/8/2014,2:25:00 a. m.,3/8/2014,2:25:00 a. m.,OGLESBY RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00673-2014,3/8/2014,2:21:00 a. m.,3/8/2014,2:21:00 a. m.,SHELDON RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
00672-2014,3/8/2014,1:33:00 a. m.,3/8/2014,1:33:00 a. m.,LUNDGREN RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400466,3/9/2014,12:43:00 a. m.,3/8/2014,9:00:00 p. m.,ILLINI UNION,CRIMINAL DAMAGE GOVT SUPPORT,ADMIN. CLOSE
,,,,,,PROP,
II1400467,3/9/2014,12:56:00 a. m.,3/9/2014,12:56:00 a. m.,PARKING LOT C-3,DRIVING UNDER INFLUENCE-DRUGS,ARREST
,,,,,,,
II1400467,3/9/2014,12:56:00 a. m.,3/9/2014,12:56:00 a. m.,PARKING LOT C-3,ILLEGAL TRANSPORTATION OF LIQUOR,ARREST
,,,,,,,
II1400467,3/9/2014,12:56:00 a. m.,3/9/2014,12:56:00 a. m.,PARKING LOT C-3,CANNABIS-POSS 30 GM & UNDER,ARREST
,,,,,,,
II1400584,3/9/2014,10:16:00 a. m.,3/8/2014,3:30:00 a. m.,400 blk of WHITE ST E,ASSIST CPD W/SEXUAL ASSAULT,ADMIN. CLOSE
,,,,,,,
FI140680342,3/9/2014,8:49:00 p. m.,3/9/2014,8:49:00 p. m.,ILLINI UNION,LIQUOR,ADMIN. CLOSED
,,,,,,,
AI140680106,3/9/2014,6:10:00 a. m.,3/9/2014,6:10:00 a. m.,WINGIN' OUT,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400469,3/10/2014,3:23:00 a. m.,3/10/2014,3:23:00 a. m.,CHEMESTRY ANNEX,CRIMINAL DAMAGE GOVT SUPPORT,ADMIN. CLOSE
,,,,,,PROP,
II1400472,3/10/2014,12:43:00 p. m.,2/22/2014,2:00:00 p. m.,STATE FARM CENTER,VIOLATION ORDER PROTECTION,CLEARED EXCEPT. PROS. FAIL
,,,,,,,TO
CC1401684,3/10/2014,12:00:00 a. m.,3/7/2014,3:30:00 p. m.,FIRST / GREEN,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
FI140690335,3/10/2014,4:34:00 p. m.,3/10/2014,4:34:00 p. m.,900-BLK S GOODWIN,TRESPASS,ADMIN. CLOSED
,,,,,,,
II1400476,3/11/2014,2:29:00 a. m.,3/11/2014,2:29:00 a. m.,900 blk of FIRST ST S,WARRANT-IN STATE,ARREST
,,,,,,,
II1400478,3/11/2014,11:10:00 a. m.,3/7/2014,3:00:00 p. m.,NOYES LAB,BURGLARY,ADMIN. CLOSE
,,,,,,,
II1400481,3/11/2014,10:26:00 p. m.,3/10/2014,8:00:00 p. m.,ORCHARD DOWNS,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
CC1401685,3/11/2014,12:00:00 a. m.,3/7/2014,6:30:00 p. m.,100 blk of E JOHN ST,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
00731-2014,3/11/2014,10:30:00 p. m.,3/11/2014,10:30:00 p. m.,OGLESBY RESD HALL,DRUGS,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400479,3/12/2014,1:15:00 p. m.,3/11/2014,1:00:00 p. m.,"MT ZION, MACON CO",ASSIST OTHER GOVT AGENCY/EOD,ADMIN. CLOSE
,,,,,,,
II1400485,3/12/2014,2:32:00 p. m.,3/12/2014,2:15:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
AI140710025,3/12/2014,1:55:00 a. m.,3/12/2014,1:55:00 a. m.,GREGORY/EUCLID,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400492,3/13/2014,3:01:00 p. m.,3/13/2014,3:01:00 p. m.,ILLINI UNION BOOKSTORE,THEFT-RETAIL,ARREST
,,,,,,,
CC1401883,3/13/2014,12:00:00 a. m.,3/7/2014,12:50:00 a. m.,800 blk of S FIRST ST,ARSON,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401986,3/13/2014,12:00:00 a. m.,3/7/2014,7:30:00 a. m.,400 blk of E SPRINGFIELD AVE,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401909,3/13/2014,12:00:00 a. m.,3/7/2014,11:30:00 a. m.,600 blk of GREEN ST E,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401920,3/13/2014,12:00:00 a. m.,3/7/2014,5:25:00 p. m.,300 blk of GREEN ST E,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401991,3/13/2014,12:00:00 a. m.,3/8/2014,9:00:00 p. m.,200 blk of E GREEN ST,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401947,3/13/2014,12:00:00 a. m.,2/26/2014,12:01:00 a. m.,RED LION,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401953,3/13/2014,12:00:00 a. m.,3/8/2014,4:32:00 p. m.,500 blk of E SPRINGFIELD,LARCENY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401990,3/13/2014,12:00:00 a. m.,3/8/2014,7:00:00 p. m.,300 blk of E GREEN ST,DESTR/DAMAG/VAND,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401792,3/13/2014,12:00:00 a. m.,1/27/2014,7:00:00 p. m.,300 blk of SPRINGFIELD AV E,FORCIBLE SEX OFFENSE,REPORTED TO OTHER
,,,,,,,AGENCY
UU1401208,3/13/2014,12:00:00 a. m.,3/7/2014,9:30:00 a. m.,CAMPUS-UNOFFICIAL DETAIL,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
AR140720439,3/13/2014,11:46:00 p. m.,3/13/2014,11:46:00 p. m.,SNYDER RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00746-2014,3/13/2014,12:40:00 a. m.,3/13/2014,12:40:00 a. m.,HOPKINS RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400498,3/14/2014,2:44:00 a. m.,3/14/2014,2:44:00 a. m.,FOURTH ST S / JOHN ST,RESIST/OBSTRUCT/DISARM AN,ARREST
,,,,,,OFFICER,
II1400499,3/14/2014,3:15:00 a. m.,3/14/2014,3:15:00 a. m.,BROMLEY HALL,ASSIST CPD W/FIGHT CALL,ADMIN. CLOSE
,,,,,,,
II1400499,3/14/2014,3:15:00 a. m.,3/14/2014,3:15:00 a. m.,BROMLEY HALL,ASSIST CPD W/FIGHT CALL,ADMIN. CLOSE
,,,,,,,
II1400499,3/14/2014,3:15:00 a. m.,3/14/2014,3:15:00 a. m.,BROMLEY HALL,ASSIST CPD W/FIGHT CALL,PENDING
,,,,,,,
II1400500,3/14/2014,8:45:00 a. m.,3/8/2014,12:25:00 a. m.,WASTE TRANSFER STATION,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400501,3/14/2014,8:44:00 a. m.,3/14/2014,8:20:00 a. m.,DAVID KINLEY HALL,THEFT FROM BUILDING,PENDING
,,,,,,,
II1400502,3/14/2014,11:44:00 a. m.,3/13/2014,12:00:00 p. m.,BURRILL HALL,THEFT FROM MOTOR VEHICLE,ADMIN. CLOSE
,,,,,,,
CC1401658,3/14/2014,12:00:00 a. m.,2/13/2014,4:40:00 p. m.,1100 blk of SECOND ST S,VOOP,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401171,3/14/2014,12:00:00 a. m.,2/11/2014,11:15:00 a. m.,1100 blk of SECOND ST S,DOMESTIC BATTERY,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401321,3/14/2014,12:00:00 a. m.,2/16/2014,12:41:00 a. m.,JOE'S BREWERY,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401430,3/14/2014,12:00:00 a. m.,1/23/2014,10:30:00 p. m.,RED LION BAR,UNLAW USE ID,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401432,3/14/2014,12:00:00 a. m.,12/6/2013,10:00:00 p. m.,JOES BREWERY,UNLAW USE ID,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401575,3/14/2014,12:00:00 a. m.,1/31/2014,11:00:00 p. m.,JOES BREWERY,UNLAW USE ID,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401579,3/14/2014,12:00:00 a. m.,1/24/2014,11:00:00 p. m.,RED LION,UNLAW USE ID,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401581,3/14/2014,12:00:00 a. m.,2/15/2014,7:30:00 p. m.,KAM'S BAR,UNLAW USE ID,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401764,3/14/2014,12:00:00 a. m.,10/11/2013,10:00:00 p. m.,JOES BREWERY,UNLAW USE ID,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401796,3/14/2014,12:00:00 a. m.,1/30/2014,11:30:00 p. m.,RED LION BAR,FALSE ID,REPORTED TO OTHER
,,,,,,,AGENCY
CC1401879,3/14/2014,12:00:00 a. m.,3/6/2014,10:15:00 p. m.,FIRE HAUS,MINOR PRESENT,REPORTED TO OTHER
,,,,,,,AGENCY
CC1402128,3/14/2014,12:00:00 a. m.,3/14/2014,3:15:00 a. m.,900 blk of THIRD ST S,SIMPLE ASSAULT,REPORTED TO OTHER
,,,,,,,AGENCY
00821-2014,3/14/2014,12:00:00 a. m.,3/14/2014,12:00:00 a. m.,NUGENT RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400507,3/15/2014,12:38:00 a. m.,3/15/2014,12:38:00 a. m.,SIXTH ST S / DANIEL ST E,MIP,ARREST
,,,,,,,
II1400508,3/15/2014,2:39:00 a. m.,3/15/2014,2:38:00 a. m.,SPRINGFIELD AVENUE / GOODWIN,ASSIST UPD W/ROBBERY,ADMIN. CLOSE
,,,,,AVENUE,,
II1400508,3/15/2014,2:39:00 a. m.,3/15/2014,2:38:00 a. m.,SPRINGFIELD AVENUE / GOODWIN,ASSIST UPD W/ROBBERY,ADMIN. CLOSE
,,,,,AVENUE,,
II1400511,3/15/2014,1:49:00 p. m.,3/15/2014,12:45:00 p. m.,TRANSPORTATION BUILDING,ROBBERY-ARMED,PENDING
,,,,,,,
II1400513,3/15/2014,7:23:00 p. m.,3/14/2014,10:30:00 p. m.,NUGENT RESIDENCE HALL,HARASSMENT BY TELEPHONE,UNFOUNDED
,,,,,,,
II1400515,3/15/2014,11:27:00 p. m.,3/15/2014,11:27:00 p. m.,NEVADA ST / GOODWIN AVE S,CONTROLLED SUBSTANCE-POSS,ARREST
,,,,,,W/INTENT,
II1400515,3/15/2014,11:27:00 p. m.,3/15/2014,11:27:00 p. m.,NEVADA ST / GOODWIN AVE S,DRUG EQUIPMENT-POSSESSION,PENDING
,,,,,,,
UU1401399,3/15/2014,12:00:00 a. m.,3/15/2014,2:39:00 a. m.,SPRINGFIELD AVE / GOODWIN,ROBBERY,REPORTED TO OTHER
,,,,,,,AGENCY
FI140740070,3/15/2014,2:25:00 a. m.,3/15/2014,2:25:00 a. m.,HOPKINS RESD HALL,DRUGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140740438,3/15/2014,9:58:00 p. m.,3/15/2014,9:58:00 p. m.,PARKING LOT B-4,LIQUOR,ADMIN. CLOSED
,,,,,,,
AR140740067,3/15/2014,2:10:00 a. m.,3/15/2014,2:10:00 a. m.,ENGINEERING HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400516,3/16/2014,1:56:00 a. m.,3/16/2014,1:56:00 a. m.,LUNDGREN RESIDENCE HALL,BATTERY,ARREST
,,,,,,,
II1400517,3/16/2014,11:03:00 a. m.,3/16/2014,11:03:00 a. m.,UNDERGRADUATE LIBRARY,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
II1400518,3/16/2014,11:41:00 a. m.,3/16/2014,11:41:00 a. m.,SECOND STREET N / UNIVERSITY E,RESIST/OBSTRUCT/DISARM AN,ARREST
,,,,,,OFFICER,
II1400518,3/16/2014,11:41:00 a. m.,3/16/2014,11:41:00 a. m.,SECOND STREET N / UNIVERSITY E,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
II1400519,3/16/2014,12:40:00 p. m.,3/16/2014,12:15:00 p. m.,57 NORTH SHOP,THEFT UNDER,ARREST
,,,,,,,
II1400520,3/16/2014,5:15:00 p. m.,3/16/2014,5:15:00 p. m.,ORCHARD DOWNS,THEFT-IDENTITY,PENDING
,,,,,,,
II1400521,3/16/2014,10:20:00 p. m.,3/16/2014,8:00:00 a. m.,EVERITT LAB,THEFT OVER,ARREST
,,,,,,,
CC1401881,3/16/2014,12:00:00 a. m.,3/6/2014,11:58:00 p. m.,ILLINI INN,LIQUOR,REPORTED TO OTHER
,,,,,,,AGENCY
FI140750042,3/16/2014,1:50:00 a. m.,3/16/2014,1:50:00 a. m.,OREGON/GOODWIN,DRUGS,ADMIN. CLOSED
,,,,,,,
FI140750081,3/16/2014,3:39:00 a. m.,3/16/2014,3:39:00 a. m.,TRELEASE RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
FI140750333,3/16/2014,6:55:00 p. m.,3/16/2014,6:55:00 p. m.,LEONARD RESD HALL,DRUGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
AI104750088,3/16/2014,4:44:00 a. m.,3/16/2014,4:44:00 a. m.,WESTON RESD HALL,LIQUOR,STUDENT DISCIPLINE
,,,,,,,REFERRAL
II1400526,3/17/2014,6:05:00 p. m.,3/17/2014,6:05:00 p. m.,MTD BUS,THEFT OVER,UNFOUNDED
,,,,,,,
FI140760375,3/17/2014,10:51:00 p. m.,3/17/2014,10:51:00 p. m.,1007 S THIRD,DRUGS,STUDENT DISCIPLINE
,,,,,,,REFERRAL
00802-2014,3/17/2014,11:20:00 p. m.,3/17/2014,11:20:00 p. m.,CARR RESD HALL,LIQUOR,STUDENT DISCPLINE
,,,,,,,REFERRAL
II1400528,3/18/2014,1:41:00 a. m.,3/18/2014,1:41:00 a. m.,900 blk of FIFTH ST,FIGHTING,ARREST
,,,,,,,
II1400531,3/18/2014,7:22:00 p. m.,3/17/2014,12:30:00 p. m.,ARCHITECTURE BUILDING,THEFT OVER,ADMIN. CLOSE
,,,,,,,
II1400532,3/18/2014,8:56:00 p. m.,3/18/2014,8:00:00 p. m.,PERKINS RESTAURANT,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400532,3/18/2014,8:56:00 p. m.,3/18/2014,8:00:00 p. m.,PERKINS RESTAURANT,ASSIST OTHER POLICE DEPT,ADMIN. CLOSE
,,,,,,,
II1400533,3/18/2014,11:12:00 p. m.,3/18/2014,5:30:00 p. m.,BECKAMN INSTITUTE,THEFT OVER,UNFOUNDED
,,,,,,,
II1400534,3/19/2014,3:44:00 a. m.,3/19/2014,3:44:00 a. m.,SMITH MEMORIAL HALL,CRIMINAL DAMAGE GOVT SUPPORT,ADMIN. CLOSE
,,,,,,PROP,
II1400536,3/19/2014,1:11:00 p. m.,3/19/2014,12:00:00 p. m.,CRCE,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400538,3/19/2014,12:27:00 p. m.,3/3/2014,5:30:00 p. m.,SHERMAN RESIDENCE HALL,MISSING PERSON ADULT/MALE,REFERRED TO OTHER
,,,,,,,JURISDICTION
II1400540,3/19/2014,2:59:00 p. m.,3/14/2014,8:00:00 a. m.,FOELLINGER AUDITORIUM,CRIMINAL DAMAGE GOVT SUPPORT,ADMIN. CLOSE
,,,,,,PROP,
II1400542,3/19/2014,3:39:00 p. m.,3/19/2014,1:00:00 p. m.,CRCE,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
II1400543,3/19/2014,7:05:00 p. m.,3/19/2014,4:20:00 p. m.,ARC,THEFT UNDER,ADMIN. CLOSE
,,,,,,,
CC1401989,3/19/2014,12:00:00 a. m.,3/8/2014,3:30:00 a. m.,400 blk of E WHITE ST,FORCIBLE SEX OFFENSE,REPORTED TO OTHER
,,,,,,,AGENCY
II1400547,3/20/2014,2:32:00 a. m.,3/20/2014,2:30:00 a. m.,UNDERGRADUATE LIBRARY,TRESPASS NOTICE,ADMIN. CLOSE
,,,,,,,
II1400548,3/20/2014,8:21:00 a. m.,3/1/2014,8:00:00 a. m.,ILIR,DECEPTIVE PRACTICES,ADMIN. CLOSE
,,,,,,,
II1400549,3/20/2014,2:10:00 p. m.,3/17/2014,10:54:00 p. m.,SMALL ANIMAL CLINIC,THEFT UNDER,PENDING
,,,,,,,
II1400550,3/20/2014,12:39:00 p. m.,3/20/2014,12:00:00 p. m.,EDUCATION BUILDING,ASSIST OTHER GOVT AGENCY/EOD,ADMIN. CLOSE
,,,,,,,
II1400552,3/20/2014,7:19:00 p. m.,3/20/2014,5:54:00 p. m.,LINCOLN HALL,THEFT OVER,ARREST
,,,,,,,
II1400553,3/20/2014,10:40:00 p. m.,3/20/2014,8:30:00 p. m.,ARC,THEFT OVER,PENDING
,,,,,,,
CC1401942,3/20/2014,12:00:00 a. m.,3/8/2014,4:50:00 a. m.,STOUGHTON E / WRIGHT,DOMESTIC DISPUTE,REPORTED TO OTHER
,,,,,,,AGENCY
